Timestamp,XT,Weekday,Holiday,XTForecastEstimation
2018-01-01 00:00:00,3933.209684642,1,1,3928.618103772828
2018-01-01 01:00:00,3615.8622942959996,1,1,3584.743968507201
2018-01-01 02:00:00,3531.4080727680002,1,1,3481.997026664746
2018-01-01 03:00:00,3250.9266820169996,1,1,3171.2055883108924
2018-01-01 04:00:00,3027.204710501,1,1,2874.047836142187
2018-01-01 05:00:00,2934.41857177,1,1,2624.699069423893
2018-01-01 06:00:00,2990.903842927,1,1,2645.5261994737157
2018-01-01 07:00:00,3048.6625336829998,1,1,2778.8462666938694
2018-01-01 08:00:00,3189.2150491539996,1,1,3011.633637892653
2018-01-01 09:00:00,3575.7201456319995,1,1,3690.08400433206
2018-01-01 10:00:00,4025.499981446,1,1,4290.197566490539
2018-01-01 11:00:00,4384.555881555,1,1,4658.451692750827
2018-01-01 12:00:00,4418.914815964,1,1,4664.1546832052745
2018-01-01 13:00:00,4114.951039039,1,1,4161.4450609188325
2018-01-01 14:00:00,3588.579278302,1,1,3522.8670451244498
2018-01-01 15:00:00,3613.3074559459997,1,1,3632.088681807045
2018-01-01 16:00:00,3691.870584343,1,1,3874.1593910042902
2018-01-01 17:00:00,4014.7472396750004,1,1,4154.514418309268
2018-01-01 18:00:00,4542.759085593,1,1,4619.506447808412
2018-01-01 19:00:00,4628.660825377,1,1,4727.816759570412
2018-01-01 20:00:00,4618.74229442,1,1,4711.705986670164
2018-01-01 21:00:00,4479.436408604,1,1,4537.625311791903
2018-01-01 22:00:00,4203.659320502999,1,1,4307.022650265399
2018-01-01 23:00:00,3931.892507814,1,1,4081.5435447212076
2018-01-02 00:00:00,3490.9039616870004,2,0,3579.6643987836055
2018-01-02 01:00:00,3098.818112656,2,0,3184.612929639804
2018-01-02 02:00:00,3037.0954392410003,2,0,3129.62013166051
2018-01-02 03:00:00,2843.949442098,2,0,2876.967824919464
2018-01-02 04:00:00,2698.265247502,2,0,2630.1772772107697
2018-01-02 05:00:00,2706.440093235,2,0,2591.3602325131365
2018-01-02 06:00:00,2908.866306993,2,0,2978.4543111522753
2018-01-02 07:00:00,3131.238954893,2,0,3261.125918590319
2018-01-02 08:00:00,3401.073881573,2,0,3473.119668975047
2018-01-02 09:00:00,3849.4416827609994,2,0,3838.141899593865
2018-01-02 10:00:00,4100.409287828,2,0,4070.734117700368
2018-01-02 11:00:00,4232.149722474,2,0,4159.769121217257
2018-01-02 12:00:00,4313.718569029,2,0,4229.3396625802425
2018-01-02 13:00:00,4271.129980725,2,0,4197.432195734735
2018-01-02 14:00:00,4078.3108356280004,2,0,4039.3733326720953
2018-01-02 15:00:00,4218.012940446,2,0,4202.208808777118
2018-01-02 16:00:00,4228.508961878,2,0,4286.829610669495
2018-01-02 17:00:00,4544.239145333,2,0,4659.902031619389
2018-01-02 18:00:00,5021.831804801999,2,0,5128.563879143554
2018-01-02 19:00:00,5076.505982859,2,0,5140.200274883963
2018-01-02 20:00:00,5004.778600924,2,0,5066.542645476552
2018-01-02 21:00:00,4754.046836699,2,0,4759.311038283334
2018-01-02 22:00:00,4346.573927613,2,0,4405.436065664493
2018-01-02 23:00:00,4002.553359217,2,0,4003.9483529099066
2018-01-03 00:00:00,3482.828603358,3,0,3473.420395114108
2018-01-03 01:00:00,3039.3891698760003,3,0,3044.927652629636
2018-01-03 02:00:00,2985.481757461,3,0,3006.7080685845795
2018-01-03 03:00:00,2809.390650087,3,0,2829.949555251998
2018-01-03 04:00:00,2697.232148397,3,0,2736.8247456658432
2018-01-03 05:00:00,2739.581790193,3,0,2806.7127326117043
2018-01-03 06:00:00,2995.1214790080003,3,0,3126.5912956956054
2018-01-03 07:00:00,3368.360811568,3,0,3509.549818330432
2018-01-03 08:00:00,3811.4424488819996,3,0,3922.66922329998
2018-01-03 09:00:00,4328.168561069,3,0,4291.669226452196
2018-01-03 10:00:00,4567.100341046,3,0,4460.165434671123
2018-01-03 11:00:00,4598.658797761,3,0,4520.685886966133
2018-01-03 12:00:00,4611.499888425999,3,0,4558.987953522081
2018-01-03 13:00:00,4565.011054902,3,0,4523.603306513212
2018-01-03 14:00:00,4326.661079488,3,0,4371.330885687417
2018-01-03 15:00:00,4415.132013359999,3,0,4516.789986547603
2018-01-03 16:00:00,4396.308783681001,3,0,4608.1044902033855
2018-01-03 17:00:00,4743.250719323,3,0,4924.460329454334
